reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0525,Doomadgee Hospital,False,-17.942527,138.825267,North West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:north west (qld),True
H0534,Baillie Henderson Hospital,False,-27.524371,151.936283,Darling Downs,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:darling downs,True
H0535,Charters Towers Rehabilitation Unit,False,-20.076801,146.280459,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0536,Kirwan Rehabilitation Unit,False,-19.303796,146.731627,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0537,The Park Centre For Mental Health,False,-27.600413,152.910246,West Moreton,Brisbane South,,health.qld.gov.au,unknown,lhn:west moreton,True
H0744,Robina Hospital,False,-28.072198,153.377284,Gold Coast,Gold Coast,,health.qld.gov.au,unknown,lhn:gold coast,True
H0745,Queensland Children's Hospital,False,-27.484305,153.026717,Children's Health Queensland,Brisbane South,,health.qld.gov.au,unknown,lhn:children's health queensland,True
H0750,Sunshine Coast University Hospital,False,-26.74681,153.113812,Sunshine Coast,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:sunshine coast,True
H1048,Surgical Treatment and Rehabilitation Service,False,-27.44926,153.02611,Metro North (Qld),Brisbane North,,health.qld.gov.au,unknown,lhn:metro north (qld),True
H1050,Jacaranda Place Queensland Adolescent Extended Treatment Centre,False,-27.38765,153.02656,Children's Health Queensland,Brisbane North,,health.qld.gov.au,unknown,lhn:children's health queensland,True
H5024,Brisbane Private Hospital,True,-27.464756,153.022642,,,,,private,,False
H5026,Caboolture Private Hospital,True,-27.080318,152.963628,,,,,private,,False
H5032,Ramsay Surgical Centre Cairns,True,-16.918973,145.771955,,,,,private,,False
H5033,Cairns Private Hospital,True,-16.918854,145.772282,,,,,private,,False
H5034,Ramsay Clinic Caloundra,True,-26.782379,153.125534,,,,,private,,False
H5076,Eye-Tech Day Surgeries,True,-27.461026,153.021898,,,,,private,,False
H5077,Eye-Tech Day Surgeries Southside,True,-27.557642,153.082042,,,,,private,,False
H5086,Greenslopes Private Hospital,True,-27.513052,153.046942,,,,,private,,False
H5091,Hervey Bay Surgical Hospital,True,-25.287202,152.834651,,,,,private,,False
H5092,Hillcrest Rockhampton Private Hospital,True,-23.377595,150.496076,,,,,private,,False
H5095,St Vincent's Private Hospital [Northside],True,-27.390688,153.022728,,,,svha.org.au,tertiary,operator_kw:st vincent's private,True
H5100,Ipswich Day Hospital,True,-27.6184,152.7608,,,,,private,,False
H5102,John Flynn Private Hospital,True,-28.153911,153.488616,,,,,private,,False
H5106,Kawana Private Hospital,True,-26.733825,153.122164,,,,,private,,False
H5116,Mater Children's Private Brisbane,True,-27.48485,153.027436,,,,,private,,False
H5117,Mater Private Hospital Townsville,True,-19.288482,146.786528,,,,,private,,False
H5118,Mater Misericordiae Day Unit,True,-21.139073,149.181984,,,,,private,,False
H5119,Mater Misericordiae Hospital Bundaberg,True,-24.870766,152.330412,,,,,private,,False
H5121,Mater Misericordiae Hospital Mackay,True,-21.129416,149.166033,,,,,private,,False
H5122,Mater Misericordiae Hospital Rockhampton,True,-23.398033,150.497444,,,,,private,,False
H5124,Mater Mothers' Private Brisbane,True,-27.485992,153.027747,,,,,private,,False
H5125,Mater Private Hospital Redland,True,-27.540811,153.25043,,,,,private,,False
H5126,Mater Private Hospital Brisbane,True,-27.483975,153.028777,,,,,private,,False
H5145,Nambour Selangor Private Hospital,True,-26.618265,152.955949,,,,,private,,False
H5148,Ramsay Clinic New Farm,True,-27.473623,153.045879,,,,,private,,False
H5150,Noosa Hospital,True,-26.403209,153.046309,,,,,private,,False
H5153,North West Private Hospital,True,-27.393992,152.992705,,,,,private,,False
H5164,Pacific Private Hospital,True,-27.970407,153.407829,,,,,private,,False
H5166,Peninsula Private Hospital Queensland,True,-27.230696,153.093087,,,,ramsayhealth.com.au,private,operator_kw:peninsula private,True
H5170,Pindara Day Procedure Centre,True,-28.008508,153.39373,,,,,private,,False
H5171,Pindara Private Hospital,True,-28.007076,153.393569,,,,,private,,False
H5172,Pine Rivers Private Hospital,True,-27.308361,152.994832,,,,,private,,False
H5176,Rivercity Private Hospital,True,-27.473491,152.995132,,,,,private,,False
H5180,Short Street Day Surgery,True,-27.970813,153.416975,,,,,private,,False
H5181,Lady Bjelke-Petersen Community Hospital,True,-26.543051,151.836891,,,,,private,,False
H5185,Southside Endoscopy Centre,True,-27.662981,153.17828,,,,,private,,False
H5188,St Andrew's Ipswich Private Hospital,True,-27.618799,152.763079,,,,,private,,False
H5189,St Andrew's War Memorial Hospital,True,-27.461224,153.021011,,,,,private,,False
H5206,St Stephen's Hospital [Hervey Bay],True,-25.299851,152.823273,,,,,private,,False
H5208,St Vincent's Private Hospital [Toowoomba],True,-27.565675,151.971551,,,,svha.org.au,tertiary,operator_kw:st vincent's private,True
H5215,Sunnybank Private Hospital,True,-27.572541,153.061051,,,,,private,,False
H5216,Sunshine Coast Haematology and Oncology Clinic,True,-26.657299,153.094955,,,,,private,,False
H5234,Buderim Private Hospital,True,-26.683988,153.092895,,,,,private,,False
H5239,The Wesley Hospital,True,-27.478335,152.997971,,,,,private,,False
H5241,Toowong Private Hospital,True,-27.47736,152.99125,,,,,private,,False
H5242,Toowoomba Surgicentre,True,-27.566341,151.973785,,,,,private,,False
H5243,Townsville Day Surgery,True,-19.268889,146.782836,,,,,private,,False
H5261,Brisbane Endoscopy Services,True,-27.572418,153.061985,,,,,private,,False
H5265,St Andrew's Toowoomba Hospital,True,-27.539156,151.933665,,,,,private,,False
H5270,Mackay Specialist Day Hospital,True,-21.129471,149.16544,,,,,private,,False
H5278,Chermside Day Hospital,True,-27.381971,153.029423,,,,,private,,False
H5282,North Queensland Day Surgical Centre,True,-19.279643,146.791468,,,,,private,,False
